"","lrn_lang","lrn_skills","has_lang","has_skills","meetups","chat_handle","ln_chsolv","ID1","ID2","HC1","HC2","HC3","JS1","JS2","JS4","KS1","KS2","KS3"
"lrn_lang",7.89375785504818,7.22748219522413,5.19920402178467,4.58240469208211,4.95345622119816,0.676330121491412,2.14224379964635,1.01089233347298,1.19300377042313,0.765144532886468,0.714997905320486,0.461206535400084,0.147339757017176,0.159530791788856,0.188730624214495,0.24574780058651,0.300041893590281,0.0126518642647675
"lrn_skills",7.22748219522413,12.2609970674487,3.61730205278592,5.73209049015501,5.60515291160452,0.500837871805614,2.16018803643412,1.00041893590281,1.16191872643486,0.611646418098031,0.819857561793046,0.573732718894009,0.48533724340176,0.0506912442396313,0.612903225806452,0.0640971931294512,0.213238374528697,0.0148722245496439
"has_lang",5.19920402178467,3.61730205278592,18.7620444072057,8.25052366987851,3.11080854629242,0.744868035190616,1.48951142593164,1.0672392124005,1.62756598240469,1.33158776707164,0.892333472978634,0.756179304566401,0.425848345203184,0.700879765395894,0.364474235441977,0.449937159614579,0.984499371596146,0.487641390867197
"has_skills",4.58240469208211,5.73209049015501,8.25052366987851,9.48621700879765,2.98144113950566,0.399748638458316,1.09943951939849,0.594679514034353,1.26376204440721,0.552869710934227,0.548847926267281,0.276581483033096,0.0966066191872643,-0.0126099706744868,0.256388772517805,-0.4841642228739,-0.0860494344365312,-0.319396732299958
"meetups",4.95345622119816,5.60515291160452,3.11080854629242,2.98144113950566,13.5908671973188,0.934604105571847,2.99158186368783,2.14976958525346,1.83984080435693,1.46749057394219,1.6731043150398,1.48152492668622,-0.388688730624214,-0.633724340175953,0.125890238793465,-0.668370339338081,-0.342605781315459,-0.339673229995811
"chat_handle",0.676330121491412,0.500837871805614,0.744868035190616,0.399748638458316,0.934604105571847,0.222203602848764,0.413974051308804,0.173439463762044,0.205781315458735,0.122915793883536,0.150900712191035,0.101968998743192,0.00364474235441977,0.0290322580645161,0.03414327607876,0.0115626309174696,0.0235441977377461,-0.0351068286552157
"ln_chsolv",2.14224379964635,2.16018803643412,1.48951142593164,1.09943951939849,2.99158186368783,0.413974051308804,2.35054949056112,0.556382058073828,0.66115719881103,0.415813321210669,0.578362260308447,0.388686903806918,-0.0704665000541106,-0.0219550727174201,0.0193077280663847,-0.0370953687998187,-0.215812370795573,-0.104842814180474
"ID1",1.01089233347298,1.00041893590281,1.0672392124005,0.594679514034353,2.14976958525346,0.173439463762044,0.556382058073828,2.39840804356933,1.82237117720989,1.28613322161709,1.24947633012149,1.1587767071638,0.386887306242145,0.0969836614997905,0.273565144532886,0.255131964809384,0.419564306661081,0.136992040217847
"ID2",1.19300377042313,1.16191872643486,1.62756598240469,1.26376204440721,1.83984080435693,0.205781315458735,0.66115719881103,1.82237117720989,2.2633431085044,1.35282781734395,1.31026392961877,1.25940511101801,0.289736070381232,0.154964390448261,0.271889400921659,0.268244658567239,0.549266862170088,0.214956011730205
"HC1",0.765144532886468,0.611646418098031,1.33158776707164,0.552869710934227,1.46749057394219,0.122915793883536,0.415813321210669,1.28613322161709,1.35282781734395,2.17528278173439,1.83544197737746,1.88412232928362,0.578843736908253,0.340301633850021,0.424591537494763,0.117343946376204,0.209342270632593,0.0174696271470465
"HC2",0.714997905320486,0.819857561793046,0.892333472978634,0.548847926267281,1.6731043150398,0.150900712191035,0.578362260308447,1.24947633012149,1.31026392961877,1.83544197737746,2.23946376204441,1.92991202346041,0.639757017176372,0.289233347297863,0.444909928780897,0.186761625471303,0.3548806032677,0.166149979053205
"HC3",0.461206535400084,0.573732718894009,0.756179304566401,0.276581483033096,1.48152492668622,0.101968998743192,0.388686903806918,1.1587767071638,1.25940511101801,1.88412232928362,1.92991202346041,2.22262253875157,0.425932132383745,0.183410138248848,0.296816087138668,-0.0565144532886468,0.131629660661919,-0.0686217008797654
"JS1",0.147339757017176,0.48533724340176,0.425848345203184,0.0966066191872643,-0.388688730624214,0.00364474235441977,-0.0704665000541106,0.386887306242145,0.289736070381232,0.578843736908253,0.639757017176372,0.425932132383745,2.4342689568496,1.25362379555928,1.19145370758274,0.444407205697528,0.498366149979053,0.329953917050691
"JS2",0.159530791788856,0.0506912442396313,0.700879765395894,-0.0126099706744868,-0.633724340175953,0.0290322580645161,-0.0219550727174201,0.0969836614997905,0.154964390448261,0.340301633850021,0.289233347297863,0.183410138248848,1.25362379555928,2.03502304147465,0.984499371596146,0.568370339338081,0.512735651445329,0.366945957268538
"JS4",0.188730624214495,0.612903225806452,0.364474235441977,0.256388772517805,0.125890238793465,0.03414327607876,0.0193077280663847,0.273565144532886,0.271889400921659,0.424591537494763,0.444909928780897,0.296816087138668,1.19145370758274,0.984499371596146,1.60242982823628,0.20611646418098,0.296606619187264,0.19208211143695
"KS1",0.24574780058651,0.0640971931294512,0.449937159614579,-0.4841642228739,-0.668370339338081,0.0115626309174696,-0.0370953687998187,0.255131964809384,0.268244658567239,0.117343946376204,0.186761625471303,-0.0565144532886468,0.444407205697528,0.568370339338081,0.20611646418098,2.00142438206954,1.71671554252199,1.35328864683703
"KS2",0.300041893590281,0.213238374528697,0.984499371596146,-0.0860494344365312,-0.342605781315459,0.0235441977377461,-0.215812370795573,0.419564306661081,0.549266862170088,0.209342270632593,0.3548806032677,0.131629660661919,0.498366149979053,0.512735651445329,0.296606619187264,1.71671554252199,2.27381650607457,1.40557184750733
"KS3",0.0126518642647675,0.0148722245496439,0.487641390867197,-0.319396732299958,-0.339673229995811,-0.0351068286552157,-0.104842814180474,0.136992040217847,0.214956011730205,0.0174696271470465,0.166149979053205,-0.0686217008797654,0.329953917050691,0.366945957268538,0.19208211143695,1.35328864683703,1.40557184750733,1.53984080435693
